"GeneID"	"X"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Accession"	"Isoform"	"E.value"	"ProteinN"	"GO_BP"	"GO_CC"	"GO_MF"	"GO"	"Status"	"Organism"	"S_10B"	"S_9A"	"S_13A"	"S_42A"	"S_46B"	"S_47B"	"S_48B"	"S_2A"	"S_2B"	"S_7B"	"S_8B"	"S_33A"	"S_36B"	"S_38A"	"S_40A"
"11"	"TRINITY_DN255273_c0_g1"	11	19.56437005	13.25833804	107.9511823	3.94e-12	6.02e-10	"Q8IXJ6"	"TRINITY_DN255273_c0_g1_i1"	7.4e-11	"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)"	"autophagy [GO:0006914]; cell division [GO:0051301]; cellular lipid catabolic process [GO:0044242]; cellular response to caloric restriction [GO:0061433]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hypoxia [GO:0071456]; cellular response to molecule of bacterial origin [GO:0071219]; cellular response to oxidative stress [GO:0034599]; chromatin silencing [GO:0006342]; chromatin silencing at rDNA [GO:0000183]; chromatin silencing at telomere [GO:0006348]; gene silencing [GO:0016458]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; innate immune response [GO:0045087]; meiotic cell cycle [GO:0051321]; myelination in peripheral nervous system [GO:0022011]; negative regulation of autophagy [GO:0010507]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of defense response to bacterium [GO:1900425]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of oligodendrocyte progenitor proliferation [GO:0070446]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of striated muscle tissue development [GO:0045843]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061428]; peptidyl-lysine deacetylation [GO:0034983]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cell division [GO:0051781]; positive regulation of DNA binding [GO:0043388]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia [GO:2000777]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ADP-ribosylation [GO:0006471]; protein deacetylation [GO:0006476]; protein kinase B signaling [GO:0043491]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; regulation of myelination [GO:0031641]; regulation of phosphorylation [GO:0042325]; response to redox state [GO:0051775]; substantia nigra development [GO:0021762]; tubulin deacetylation [GO:0090042]"	"centriole [GO:0005814]; centrosome [GO:0005813]; chromatin silencing complex [GO:0005677]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; juxtaparanode region of axon [GO:0044224]; lateral loop [GO:0043219]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; midbody [GO:0030496]; mitochondrion [GO:0005739]; mitotic spindle [GO:0072686]; myelin sheath [GO:0043209]; nuclear heterochromatin [GO:0005720]; nucleolus [GO:0005730]; nucleus [GO:0005634]; paranodal junction [GO:0033010]; paranode region of axon [GO:0033270]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; Schmidt-Lanterman incisure [GO:0043220]; spindle [GO:0005819]"	"chromatin binding [GO:0003682]; histone acetyltransferase binding [GO:0035035]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H4-K16 specific) [GO:0046970]; NAD-dependent protein deacetylase activity [GO:0034979]; protein deacetylase activity [GO:0033558]; transcription factor binding [GO:0008134]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]"	"GO:0000122; GO:0000183; GO:0000781; GO:0003682; GO:0004407; GO:0005634; GO:0005677; GO:0005694; GO:0005720; GO:0005730; GO:0005737; GO:0005739; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005886; GO:0006342; GO:0006348; GO:0006471; GO:0006476; GO:0006914; GO:0007096; GO:0008134; GO:0008270; GO:0008285; GO:0010507; GO:0010801; GO:0014065; GO:0016458; GO:0016575; GO:0017136; GO:0021762; GO:0022011; GO:0030426; GO:0030496; GO:0031641; GO:0032436; GO:0033010; GO:0033270; GO:0033558; GO:0034599; GO:0034979; GO:0034983; GO:0035035; GO:0035729; GO:0042177; GO:0042325; GO:0042826; GO:0042903; GO:0043130; GO:0043161; GO:0043204; GO:0043209; GO:0043219; GO:0043220; GO:0043388; GO:0043491; GO:0044224; GO:0044242; GO:0045087; GO:0045599; GO:0045836; GO:0045843; GO:0045892; GO:0045944; GO:0046970; GO:0048012; GO:0048471; GO:0051301; GO:0051321; GO:0051726; GO:0051775; GO:0051781; GO:0051987; GO:0061428; GO:0061433; GO:0070403; GO:0070446; GO:0070932; GO:0070933; GO:0071219; GO:0071456; GO:0071872; GO:0072686; GO:0072687; GO:0090042; GO:0097386; GO:1900119; GO:1900195; GO:1900226; GO:1900425; GO:2000378; GO:2000777"	"reviewed"	"Homo sapiens (Human)"	14.54512083	13.72483292	15.08661837	14.1071279	14.16875481	14.519535	13.81109041	6.587514224	7.128760207	6.144030093	6.801082044	6.144030093	6.144030093	7.197029129	6.144030093
"12"	"TRINITY_DN255903_c0_g1"	12	16.41968284	9.59453111	39.20731433	8.69e-07	2.53e-05	"Q5BJJ7"	"TRINITY_DN255903_c0_g1_i1"	1.5e-08	"Protein BCCIP homolog"	"cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; establishment of mitotic spindle orientation [GO:0000132]; microtubule anchoring [GO:0034453]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]"	"centriole [GO:0005814]; centrosome [GO:0005813]; mitotic spindle pole [GO:0097431]; nucleus [GO:0005634]"	"kinase regulator activity [GO:0019207]; tubulin binding [GO:0015631]"	"GO:0000079; GO:0000132; GO:0000226; GO:0005634; GO:0005813; GO:0005814; GO:0006281; GO:0006974; GO:0007052; GO:0015631; GO:0019207; GO:0034453; GO:0090307; GO:0097431"	"reviewed"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	10.22856239	9.831215148	9.389959931	10.97690424	10.89114175	11.47681491	10.50347321	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
"13"	"TRINITY_DN256449_c0_g1"	13	16.09956622	9.258301558	37.10442962	1.37e-06	3.91e-05	"Q29350"	"TRINITY_DN256449_c0_g1_i1"	2e-08	"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)"	"mRNA splicing, via spliceosome [GO:0000398]"	"nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; U2AF [GO:0089701]"	"metal ion binding [GO:0046872]; pre-mRNA 3'-splice site binding [GO:0030628]"	"GO:0000398; GO:0005681; GO:0016607; GO:0030628; GO:0046872; GO:0089701"	"reviewed"	"Sus scrofa (Pig)"	10.43875524	10.85332064	9.858174263	10.10084287	9.966407674	10.45462437	9.828356415	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
"14"	"TRINITY_DN259150_c0_g1"	14	-9.072361637	7.231336227	10.38719778	0.003106981	0.04061268	"Q6AYG5"	"TRINITY_DN259150_c0_g1_i1"	2e-27	"Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD) (EC 7.2.4.3)"	"fatty acid beta-oxidation [GO:0006635]"	"cytosol [GO:0005829]"	"carboxy-lyase activity [GO:0016831]; enoyl-CoA hydratase activity [GO:0004300]"	"GO:0004300; GO:0005829; GO:0006635; GO:0016831"	"reviewed"	"Rattus norvegicus (Rat)"	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	9.51656397	7.128760207	7.985723301	7.593232968	6.144030093	7.529366793	6.144030093	6.144030093
"15"	"TRINITY_DN271642_c0_g1"	15	19.9376128	14.06191571	107.361798	4.23e-12	6.02e-10	"P35728"	"TRINITY_DN271642_c0_g1_i1"	2e-14	"Protein MPE1"	"mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; protein ubiquitination [GO:0016567]"	"cytosol [GO:0005829]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]"	"pre-mRNA binding [GO:0036002]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]"	"GO:0005634; GO:0005829; GO:0005847; GO:0006378; GO:0008270; GO:0016567; GO:0036002; GO:0061630; GO:0098789"	"reviewed"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	14.97556963	14.53534998	14.97965526	15.39335078	15.40628258	15.61909262	14.90119917	6.587514224	6.144030093	6.144030093	7.593232968	7.15423938	6.144030093	6.144030093	6.894221609
"16"	"TRINITY_DN271666_c1_g1"	16	18.02592667	10.14568525	53.15141814	5.79e-08	1.81e-06	"O42881"	"TRINITY_DN271666_c1_g1_i1"	1.2e-07	"Acyl-protein thioesterase 1 (EC 3.1.2.-)"	"fatty acid metabolic process [GO:0006631]; protein depalmitoylation [GO:0002084]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]"	"carboxylic ester hydrolase activity [GO:0052689]; palmitoyl-(protein) hydrolase activity [GO:0008474]"	"GO:0002084; GO:0005634; GO:0005737; GO:0005829; GO:0006631; GO:0008474; GO:0052689"	"reviewed"	"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"	10.73267171	11.64799705	11.19404443	11.34572192	11.12931491	11.22475259	10.88837364	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
"17"	"TRINITY_DN274712_c0_g1"	17	19.48917008	14.44543729	85.85115813	7.32e-11	3.6e-09	"Q6P7K0"	"TRINITY_DN274712_c0_g1_i1"	5.5e-09	"Carboxymethylenebutenolidase homolog (EC 3.1.-.-)"	""	"cytosol [GO:0005829]"	"hydrolase activity [GO:0016787]"	"GO:0005829; GO:0016787"	"reviewed"	"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"	15.33649878	13.69288187	14.1315046	16.19458107	16.02473193	16.27023341	15.29017208	6.144030093	6.144030093	6.144030093	6.801082044	7.742588984	6.144030093	9.235538582	6.144030093
"18"	"TRINITY_DN274805_c0_g2"	18	18.46155069	14.38921015	101.942186	8.3e-12	7.09e-10	"P14318"	"TRINITY_DN274805_c0_g2_i1"	7.9e-17	"Muscle-specific protein 20"	"myoblast fusion [GO:0007520]; regulation of myoblast fusion [GO:1901739]"	"cytoplasm [GO:0005737]"	"actin binding [GO:0003779]"	"GO:0003779; GO:0005737; GO:0007520; GO:1901739"	"reviewed"	"Drosophila melanogaster (Fruit fly)"	15.41212486	16.46039577	15.46991459	15.06924619	15.33451722	15.2047307	14.772374	6.144030093	7.708596617	7.34073297	7.869740069	7.15423938	6.144030093	7.197029129	7.385279781
"19"	"TRINITY_DN274840_c0_g1"	19	18.05708077	13.08541244	77.70118076	2.47e-10	1.09e-08	"Q724J4"	"TRINITY_DN274840_c0_g1_i1"	2.1e-10	"Bifunctional protein TilS/HprT [Includes: tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase); Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)]"	"purine ribonucleoside salvage [GO:0006166]; tRNA modification [GO:0006400]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]"	"GO:0004422; GO:0005524; GO:0005737; GO:0006166; GO:0006400; GO:0016879; GO:0046872; GO:0052657"	"reviewed"	"Listeria monocytogenes serotype 4b (strain F2365)"	13.89656006	13.96670705	12.94271716	15.0769248	14.51271114	14.50306993	13.16658597	6.144030093	6.144030093	6.144030093	7.593232968	6.144030093	6.144030093	7.799233968	6.144030093
"20"	"TRINITY_DN276416_c0_g1"	20	19.5664093	10.89077279	80.93201806	8.6e-10	3.15e-08	"Q8CHB8"	"TRINITY_DN276416_c0_g1_i1"	1.4e-12	"Tubulin polyglutamylase TTLL5 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 5)"	"fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; protein polyglutamylation [GO:0018095]; retina development in camera-type eye [GO:0060041]; spermatogenesis [GO:0007283]; sperm axoneme assembly [GO:0007288]"	"centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]; plasma membrane [GO:0005886]"	"ATP binding [GO:0005524]; ligase activity [GO:0016874]"	"GO:0005524; GO:0005634; GO:0005813; GO:0005829; GO:0005874; GO:0005886; GO:0005929; GO:0007283; GO:0007288; GO:0009566; GO:0016874; GO:0018095; GO:0030317; GO:0060041"	"reviewed"	"Mus musculus (Mouse)"	11.86889546	11.99227736	11.84227991	12.19663321	12.00122362	12.15591702	11.56502895	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
"21"	"TRINITY_DN277082_c0_g1"	21	20.31931657	14.32280678	105.9650327	5.02e-12	6.43e-10	"Q8C0T9"	"TRINITY_DN277082_c0_g1_i1"	5.7e-13	"Adenylate cyclase type 10 (EC 4.6.1.1) (Germ cell soluble adenylyl cyclase) (sAC) (Testicular soluble adenylyl cyclase)"	"cAMP biosynthetic process [GO:0006171]; cellular response to inorganic substance [GO:0071241]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; intracellular signal transduction [GO:0035556]; positive regulation of apoptotic process [GO:0043065]; spermatogenesis [GO:0007283]"	"apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basal part of cell [GO:0045178]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular region [GO:0005576]; growth cone [GO:0030426]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]"	"adenylate cyclase activity [GO:0004016]; ATPase binding [GO:0051117]; ATP binding [GO:0005524]; bicarbonate binding [GO:0071890]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]"	"GO:0000287; GO:0003351; GO:0004016; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006171; GO:0007283; GO:0015630; GO:0016020; GO:0016324; GO:0030145; GO:0030424; GO:0030425; GO:0030426; GO:0031514; GO:0035556; GO:0043025; GO:0043065; GO:0045177; GO:0045178; GO:0048471; GO:0051117; GO:0071241; GO:0071890"	"reviewed"	"Mus musculus (Mouse)"	15.69059808	16.00755123	15.91039766	15.07539234	15.0885392	14.97841962	14.5707785	6.587514224	8.121064225	6.144030093	7.593232968	6.144030093	6.144030093	7.197029129	6.144030093
"22"	"TRINITY_DN277202_c0_g1"	22	15.84070488	9.144768434	36.39285442	1.61e-06	4.48e-05	"Q5R3I4"	"TRINITY_DN277202_c0_g1_i1"	4.8e-06	"Tetratricopeptide repeat protein 38 (TPR repeat protein 38)"	""	"extracellular exosome [GO:0070062]"	""	"GO:0070062"	"reviewed"	"Homo sapiens (Human)"	10.70583252	10.50642196	9.789947761	10.19417131	9.874138112	10.10161144	9.371873867	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
"23"	"TRINITY_DN277209_c0_g1"	23	8.619151792	7.606074106	9.847680124	0.003692889	0.047305904	"E5A7I6"	"TRINITY_DN277209_c0_g1_i1"	1.7e-12	"Carboxypeptidase Y homolog A (EC 3.4.16.5)"	""	"vacuole [GO:0005773]"	"serine-type carboxypeptidase activity [GO:0004185]"	"GO:0004185; GO:0005773"	"reviewed"	"Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)"	8.016235223	6.576395653	10.61763107	6.144030093	6.144030093	7.198372356	6.907347247	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
