geneID	Uniprot	annot	BPGO	CCGO	MFGO	GOterms	moduleColor	GS.exposed	p.GS.exposed	logFC	logCPM	FDR	edgeR.pvalue	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.black	p.MM.black	MM.yellow	p.MM.yellow	MM.lightgreen	p.MM.lightgreen	MM.grey	p.MM.grey	MM.pink	p.MM.pink	MM.purple	p.MM.purple	MM.lightcyan	p.MM.lightcyan	MM.cyan	p.MM.cyan	MM.salmon	p.MM.salmon	MM.greenyellow	p.MM.greenyellow	MM.green	p.MM.green
TRINITY_DN139711_c0_g1	P21187	Polyadenylate-binding protein (PABP) (Poly(A)-binding protein)	"chemical synaptic transmission [GO:0007268]; dorsal/ventral pattern formation [GO:0009953]; male meiosis cytokinesis [GO:0007112]; male meiotic nuclear division [GO:0007140]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron death [GO:1901215]; oocyte development [GO:0048599]; oogenesis [GO:0048477]; positive regulation of translation [GO:0045727]; regulation of compound eye photoreceptor development [GO:0045314]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]"	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; ribonucleoprotein complex [GO:1990904]	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]	GO:0000398; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0007112; GO:0007140; GO:0007268; GO:0007283; GO:0007289; GO:0008143; GO:0008266; GO:0009953; GO:0010494; GO:0045314; GO:0045727; GO:0048477; GO:0048599; GO:0071011; GO:0071013; GO:1901215; GO:1990904	black	0.556074124	0.031353511	7.930132876	1.615139546	0.027399172	0.004072252	0.586707455	0.021499911	-0.127815828	0.649862946	0.756554232	0.001096553	0.185325056	0.508446936	-0.278462182	0.314907219	0.482971553	0.068205324	-0.220387014	0.429945983	0.492357787	0.06225655	-0.350885175	0.199730249	-0.176835308	0.528391145	-0.0201892	0.943067175	-0.248981256	0.370865231	-0.28326026	0.306290029
TRINITY_DN296798_c5_g3	P33188	Tubulin beta chain (Beta-tubulin)	microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	black	0.554719638	0.031856223	10.49791174	4.473156627	0.008410341	0.000951089	0.589878106	0.020634778	-0.197111964	0.481346668	0.865021281	3.14E-05	0.187378112	0.50367665	-0.258115517	0.352978955	0.328243163	0.232304233	-0.227698869	0.414401416	0.432205081	0.107636714	-0.418895227	0.120155853	-0.082358477	0.770442369	0.063002673	0.823488864	-0.122178464	0.66445188	-0.252672222	0.363579152
TRINITY_DN294184_c0_g1	Q9NL98	Peroxiredoxin (EC 1.11.1.15) (AsPrx) (Thioredoxin peroxidase)	cell redox homeostasis [GO:0045454]; response to oxidative stress [GO:0006979]	cell [GO:0005623]	antioxidant activity [GO:0016209]; peroxidase activity [GO:0004601]; thioredoxin peroxidase activity [GO:0008379]	GO:0004601; GO:0005623; GO:0006979; GO:0008379; GO:0016209; GO:0045454	black	0.554176265	0.032059588	14.63528628	3.858161775	0.004697601	0.000485697	0.591593254	0.020178023	-0.463314817	0.081974064	0.958230521	1.93E-08	0.419677916	0.119393188	-0.235053307	0.399066289	0.080240769	0.776204632	-0.236875094	0.395314632	0.241483777	0.385908019	-0.338970359	0.216483426	0.129551889	0.645393571	0.02178304	0.938580135	-0.233772918	0.401714255	-0.150370034	0.592709084
TRINITY_DN299653_c1_g2	O02056	60S ribosomal protein L4	determination of adult lifespan [GO:0008340]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0008340; GO:0022625	black	0.551415995	0.033107769	18.25496082	5.628327089	0.001734653	0.000147964	0.58711105	0.021388276	-0.489622846	0.063949423	0.946601081	9.26E-08	0.446707055	0.095061961	-0.230985589	0.407510631	0.080813571	0.774644961	-0.231163725	0.407138884	0.265239816	0.339368398	-0.333050056	0.22512822	0.169214034	0.546587543	0.03154123	0.911150505	-0.227865731	0.414050129	-0.123939956	0.659881005
TRINITY_DN293383_c0_g1	P91128	60S ribosomal protein L13	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0022625	black	0.550942767	0.033290025	15.75116215	5.272094053	0.002228872	0.000198042	0.586414159	0.021581316	-0.445668822	0.095926118	0.945587791	1.04E-07	0.392127485	0.148287163	-0.258869721	0.351523928	0.11209877	0.690814904	-0.252295443	0.364319294	0.254907663	0.359204907	-0.365028728	0.180953639	0.117546859	0.676522499	0.008393648	0.976315581	-0.249097687	0.370634185	-0.175473531	0.531622462
TRINITY_DN293385_c0_g1	O01802	60S ribosomal protein L7	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]"	cytosolic large ribosomal subunit [GO:0022625]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000463; GO:0003723; GO:0003735; GO:0022625	black	0.549438451	0.033874389	15.07616708	5.319551783	0.001184746	9.49E-05	0.584882664	0.022010214	-0.444496848	0.096908209	0.946747944	9.09E-08	0.397358961	0.142471715	-0.261671677	0.346147665	0.109634742	0.697311282	-0.255616986	0.357823028	0.257656927	0.35386531	-0.361720068	0.185238799	0.116825148	0.678410065	0.006601962	0.981370275	-0.252737731	0.363450553	-0.176499816	0.529186405
TRINITY_DN255993_c0_g1	P0DJ52	60S ribosomal protein L8	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412; GO:0019843	black	0.547159495	0.034774282	12.38110571	3.192355887	0.006787781	0.000736896	0.581182624	0.023073243	-0.044777091	0.874099058	0.715848996	0.002688435	0.275271633	0.320713982	-0.280605953	0.31103994	0.489058471	0.06430287	-0.20315871	0.467718353	0.580315751	0.023327854	-0.232252165	0.404871318	-0.349008629	0.202311843	-0.0296163	0.916554908	-0.258241173	0.352736305	-0.270584978	0.329354232
TRINITY_DN293394_c0_g1	P47991	60S ribosomal protein L6	cytoplasmic translation [GO:0002181]; determination of adult lifespan [GO:0008340]; ribosomal large subunit assembly [GO:0000027]	cytosolic large ribosomal subunit [GO:0022625]; rough endoplasmic reticulum [GO:0005791]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005791; GO:0008340; GO:0022625	black	0.543029971	0.036450382	16.88061036	5.517855939	0.001318115	0.000107323	0.578931389	0.023738886	-0.4651044	0.0806448	0.950012025	6.08E-08	0.428576587	0.110955446	-0.241400083	0.386077763	0.091788382	0.744922421	-0.237127805	0.394795703	0.269932528	0.330567485	-0.344566438	0.208507835	0.142605317	0.612156835	0.024536413	0.930832838	-0.235652993	0.397829265	-0.145820485	0.604073897
TRINITY_DN316993_c1_g1	P90519	Elongation factor 1-alpha (EF-1-alpha)	NA	cytoplasm [GO:0005737]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005737	black	0.541410003	0.037124125	4.985233333	5.050915666	0.065617044	0.011906512	0.560212842	0.029854388	-0.181565024	0.517236998	0.703650601	0.003419126	0.294200716	0.287161639	-0.112757135	0.689082498	0.555484784	0.031571503	0.193470694	0.489643984	0.455406532	0.08803527	-0.209459567	0.453720298	0.007582957	0.978602605	0.259772942	0.349785818	0.277040018	0.317487992	-0.04558521	0.871843975
TRINITY_DN310743_c5_g1	O74538	60S ribosomal protein L27-B	cytoplasmic translation [GO:0002181]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005829; GO:0022625	black	0.539787562	0.037808176	10.09989919	4.736456863	0.011299053	0.001376331	0.58089029	0.023158867	-0.071551356	0.79995911	0.835437545	0.000105521	0.138444934	0.622677853	-0.181141214	0.518232083	0.398504121	0.141219557	-0.242180298	0.384496918	0.273439499	0.324076037	-0.422214587	0.116944325	-0.30628041	0.266886251	-0.055984665	0.842911264	-0.162185594	0.563605966	-0.356426485	0.192230806
TRINITY_DN311738_c1_g1	O76856	Cathepsin D (EC 3.4.23.5) (Ddp44)	programmed cell death [GO:0012501]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	early endosome [GO:0005769]; early phagosome [GO:0032009]; extracellular region [GO:0005576]; lysosome [GO:0005764]; phagocytic vesicle [GO:0045335]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0005576; GO:0005764; GO:0005769; GO:0006508; GO:0012501; GO:0030163; GO:0032009; GO:0045335	black	0.539696998	0.037846634	10.85866831	5.172306452	0.003697558	0.00036199	0.587279572	0.021341794	-0.088905621	0.752699166	0.841120068	8.52E-05	0.112231402	0.690465786	-0.188796334	0.500393587	0.27867105	0.314529213	-0.289780387	0.294802867	0.344097698	0.209168602	-0.39356614	0.146672306	-0.257327517	0.354502749	-0.063020605	0.823439355	-0.174667981	0.533538061	-0.333811139	0.224004944
TRINITY_DN277209_c0_g1	P37891	Serine carboxypeptidase 3 (EC 3.4.16.5) (Serine carboxypeptidase III)	proteolysis involved in cellular protein catabolic process [GO:0051603]	vacuole [GO:0005773]	serine-type carboxypeptidase activity [GO:0004185]	GO:0004185; GO:0005773; GO:0051603	black	0.53808964	0.038534078	10.08821913	2.90539246	0.011946968	0.001468337	0.568058482	0.027161641	-0.002977751	0.991596708	0.653427473	0.008249356	0.14568391	0.604416389	-0.267606021	0.33491435	0.591022929	0.020329037	-0.162199897	0.563571109	0.518600854	0.047628282	-0.33335124	0.224683284	-0.298033165	0.28063274	0.023445868	0.933900705	-0.17156365	0.540948695	-0.316881651	0.249825908
TRINITY_DN231598_c0_g2	Q95JF4	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (DJ-2) (Mydj2)	negative regulation of apoptotic process [GO:0043066]; negative regulation of JUN kinase activity [GO:0043508]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	GO:0001671; GO:0005524; GO:0005634; GO:0005739; GO:0005783; GO:0006457; GO:0009408; GO:0016020; GO:0030544; GO:0043065; GO:0043066; GO:0043508; GO:0046872; GO:0048471; GO:0051082; GO:0051087; GO:0051223; GO:0070585	black	0.532730549	0.040893459	8.123754884	1.585223318	0.031648837	0.004908382	0.566338229	0.02773567	-0.47205965	0.07562439	0.924284862	8.48E-07	0.49391413	0.06130786	-0.222468091	0.425491751	0.14676685	0.601702793	-0.2046921	0.464292541	0.399797629	0.139814149	-0.313553602	0.255107731	0.17840618	0.524674634	0.059241885	0.833885762	-0.213966513	0.443836798	-0.090484635	0.748436719
TRINITY_DN296377_c0_g2	Q9SG02	RNA-dependent RNA polymerase 6 (AtRDRP6) (EC 2.7.7.48) (Protein SILENCING DEFECTIVE 1) (Protein SUPPRESSOR OF GENE SILENCING 2) (RNA-directed RNA polymerase 6)	carpel development [GO:0048440]; defense response to virus [GO:0051607]; gene silencing by RNA [GO:0031047]; gynoecium development [GO:0048467]; leaf development [GO:0048366]; maintenance of shoot apical meristem identity [GO:0010492]; production of siRNA involved in chromatin silencing by small RNA [GO:0070919]; production of siRNA involved in RNA interference [GO:0030422]; production of ta-siRNAs involved in RNA interference [GO:0010267]; recognition of pollen [GO:0048544]; RNA interference [GO:0016246]; virus induced gene silencing [GO:0009616]	nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]	DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]	GO:0003723; GO:0003887; GO:0003968; GO:0005634; GO:0009616; GO:0010267; GO:0010492; GO:0016246; GO:0030422; GO:0031047; GO:0031380; GO:0048366; GO:0048440; GO:0048467; GO:0048544; GO:0051607; GO:0070919	black	0.532682955	0.040914883	5.680534043	1.367736288	0.05973911	0.010673902	0.550062603	0.033631005	-0.562425421	0.029075467	0.694224265	0.004085567	0.416223402	0.12278454	-0.222709104	0.424977435	-0.168688615	0.547851987	-0.239468715	0.390006	-0.051414715	0.855604655	-0.096141489	0.733222573	0.124719553	0.657861586	-0.025877176	0.927062316	0.009531409	0.973106157	0.094025779	0.738902332
TRINITY_DN314275_c4_g3	Q03168	Lysosomal aspartic protease (EC 3.4.23.-)	NA	lysosome [GO:0005764]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0005764	black	0.528584702	0.042791111	6.551897289	2.009057409	0.087836861	0.017417677	0.538475748	0.038368102	-0.321387122	0.242783262	0.718488678	0.002548148	0.305048421	0.268913374	-0.244151887	0.3805177	0.379153162	0.163390678	-0.074589361	0.791634436	0.37419194	0.169425542	-0.29888516	0.279193438	0.053870103	0.848780347	0.20589251	0.461619247	0.404949869	0.134310094	0.038179054	0.892543321
TRINITY_DN294767_c5_g2	P49210	60S ribosomal protein L9	cytoplasmic translation [GO:0002181]	cytosolic large ribosomal subunit [GO:0022625]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0019843; GO:0022625	black	0.527053111	0.043508418	8.469329294	4.537845498	0.021962857	0.003051382	0.563194091	0.028808487	-0.148753967	0.596736159	0.784784946	0.000529905	0.103248756	0.714237952	-0.071239251	0.800815481	0.295530716	0.284885752	-0.285899452	0.301609326	0.406603442	0.132575271	-0.46083956	0.08383824	-0.114520046	0.684450683	0.018319336	0.948333308	-0.08936503	0.75145833	-0.204857054	0.463924741
TRINITY_DN312702_c0_g1	A6ZWD3	ATP-dependent RNA helicase DBP1 (EC 3.6.4.13) (DEAD box protein 1) (Helicase CA1)	NA	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; translation initiation factor activity [GO:0003743]	GO:0003743; GO:0004386; GO:0005524; GO:0005737	black	0.526293911	0.043867268	15.06152672	4.177449529	0.005071839	0.000532255	0.559175101	0.030225091	-0.54262401	0.036618356	0.916785811	1.54E-06	0.487049302	0.065572633	-0.211939267	0.448269003	0.029121902	0.917943529	-0.217781709	0.435555614	0.248999347	0.370829325	-0.311632168	0.25818798	0.2477822	0.373249217	0.04596063	0.870796666	-0.210034182	0.452454165	-0.071612298	0.799791917
TRINITY_DN311463_c3_g2	P09445	Elongation factor 2 (EF-2)	NA	cytoplasm [GO:0005737]; nucleus [GO:0005634]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005634; GO:0005737	black	0.526107133	0.043955887	9.730125889	4.83808133	0.005380719	0.000566757	0.564101495	0.028495707	-0.093907556	0.739220082	0.852863508	5.33E-05	0.130892015	0.641951177	-0.242188679	0.384479956	0.412395253	0.126619226	-0.202499871	0.469194066	0.36501192	0.180975243	-0.406650377	0.132526253	-0.211860848	0.448440894	-0.021255981	0.940063747	-0.063983043	0.820782981	-0.323925751	0.238869669
TRINITY_DN292978_c1_g13	P08428	"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)"	ATP synthesis coupled proton transport [GO:0015986]	"mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"	"ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"	GO:0005524; GO:0005743; GO:0015986; GO:0045261; GO:0046933	black	0.525951553	0.044029805	16.84806431	4.675951408	0.003643038	0.000355476	0.563724425	0.028625369	-0.449401286	0.09284503	0.962393258	9.85E-09	0.465419723	0.080412187	-0.219871101	0.431053885	0.092613981	0.742699394	-0.212295166	0.4474893	0.321863391	0.242046039	-0.316578706	0.250303901	0.129619995	0.645218463	0.046476807	0.869357009	-0.219281725	0.432321326	-0.125201151	0.656615179
TRINITY_DN294781_c1_g1	Q29361	60S ribosomal protein L35	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; translation [GO:0006412]"	cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	GO:0000463; GO:0003729; GO:0003735; GO:0006412; GO:0015934; GO:0022625; GO:0098556	black	0.525495645	0.044246943	15.92309363	4.381896917	0.004393741	0.000448602	0.562501399	0.029048995	-0.47466006	0.073806205	0.955772598	2.78E-08	0.467818668	0.078658138	-0.217248444	0.436708371	0.064315606	0.819865511	-0.215459822	0.440586084	0.287004213	0.299662492	-0.315903789	0.251370815	0.157843966	0.57422931	0.044255003	0.87555644	-0.217565766	0.436022231	-0.114682169	0.684025248
TRINITY_DN271649_c0_g1	Q99MN1	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	"activation of MAPK activity [GO:0000187]; basophil activation involved in immune response [GO:0002276]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; ERK1 and ERK2 cascade [GO:0070371]; lysyl-tRNA aminoacylation [GO:0006430]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of metallopeptidase activity [GO:1905050]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of transcription, DNA-templated [GO:0045893]; response to X-ray [GO:0010165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]"	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	amino acid binding [GO:0016597]; ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; lysine-tRNA ligase activity [GO:0004824]; protein homodimerization activity [GO:0042803]; scaffold protein binding [GO:0097110]; tRNA binding [GO:0000049]	GO:0000049; GO:0000187; GO:0002276; GO:0002741; GO:0003877; GO:0004824; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006430; GO:0008285; GO:0010165; GO:0010759; GO:0015966; GO:0016597; GO:0017101; GO:0033209; GO:0042802; GO:0042803; GO:0043032; GO:0045893; GO:0070371; GO:0070374; GO:0097110; GO:1900017; GO:1900745; GO:1905050	black	0.524243357	0.044847459	9.197800248	2.375494239	0.02688302	0.003952108	0.562094628	0.029190934	-0.36254169	0.184168593	0.903610658	3.87E-06	0.229210556	0.411224593	-0.259443512	0.350419199	0.023836065	0.93280292	-0.277335916	0.316950031	0.012733331	0.964076301	-0.373709179	0.170020504	0.005703158	0.983906237	-0.051799398	0.854534858	-0.259100479	0.351079414	-0.264311954	0.341124034
