geneIDs	logFC	logCPM	FDR	edgeR.pvalue	BPGO	MFGO
TRINITY_DN271649_c0_g1	9.19780024804431	2.37549423924929	0.0268830195739531	0.00395210788567001	activation of MAPK activity [GO:0000187]; basophil activation involved in immune response [GO:0002276]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; ERK1 and ERK2 cascade [GO:0070371]; lysyl-tRNA aminoacylation [GO:0006430]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of metallopeptidase activity [GO:1905050]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of transcription, DNA-templated [GO:0045893]; response to X-ray [GO:0010165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	amino acid binding [GO:0016597]; ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; lysine-tRNA ligase activity [GO:0004824]; protein homodimerization activity [GO:0042803]; scaffold protein binding [GO:0097110]; tRNA binding [GO:0000049]
TRINITY_DN233040_c0_g2	9.01509648081959	1.81279509324418	0.028314098580734	0.00424482770321828	endosome transport via multivesicular body sorting pathway [GO:0032509]; protein transport [GO:0015031]; vacuolar transport [GO:0007034]	
TRINITY_DN278928_c0_g1	11.987993529716	2.61372644155218	0.0139414913194636	0.00177027660373156	apical protein localization [GO:0045176]; cortical actin cytoskeleton organization [GO:0030866]; determination of adult lifespan [GO:0008340]; embryo development ending in birth or egg hatching [GO:0009792]; intracellular protein transport [GO:0006886]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; protein localization [GO:0008104]; receptor-mediated endocytosis [GO:0006898]	clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]
TRINITY_DN311463_c2_g1	14.7385081638035	4.40725839586043	0.00332188481093649	0.000318153423881021	hematopoietic progenitor cell differentiation [GO:0002244]; positive regulation of translation [GO:0045727]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; protein kinase binding [GO:0019901]; translation elongation factor activity [GO:0003746]
TRINITY_DN311789_c4_g1	11.8068173391198	3.1874911206042	0.00760976167528687	0.000845802266978572	microtubule-based process [GO:0007017]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN276409_c0_g1	12.6957139742073	3.10791791452393	0.0110990935281016	0.0013340429054778	mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity [GO:0045153]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
TRINITY_DN274831_c0_g1	11.4243324669739	2.45209733320607	0.0164144488702507	0.00213202211497279	generation of precursor metabolites and energy [GO:0006091]; glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]
TRINITY_DN292998_c5_g6	15.9488422594326	5.16417385895822	0.00240516165340554	0.000219145585221442	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN59463_c0_g1	4.92580341689266	2.18847548223105	0.188082731086903	0.0517759246804656		structural constituent of ribosome [GO:0003735]
TRINITY_DN311493_c0_g1	13.9541887566718	5.41843270871887	0.00246341994537583	0.00022779863426448	adult locomotory behavior [GO:0008344]; ATP hydrolysis coupled proton transport [GO:0015991]; cation transport [GO:0006812]; cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; chemical synaptic transmission [GO:0007268]; determination of adult lifespan [GO:0008340]; jump response [GO:0007630]; locomotory behavior [GO:0007626]; neuromuscular process [GO:0050905]; potassium ion import across plasma membrane [GO:1990573]; regulation of tube diameter, open tracheal system [GO:0035158]; regulation of tube length, open tracheal system [GO:0035159]; response to mechanical stimulus [GO:0009612]; response to temperature stimulus [GO:0009266]; sensory perception of sound [GO:0007605]; septate junction assembly [GO:0019991]; sodium ion export across plasma membrane [GO:0036376]; synaptic growth at neuromuscular junction [GO:0051124]; tissue homeostasis [GO:0001894]; trachea morphogenesis [GO:0060439]	ATP binding [GO:0005524]; sodium:potassium-exchanging ATPase activity [GO:0005391]
TRINITY_DN298149_c0_g1	13.5630291762584	3.43962458217787	0.00881845060405355	0.00101148625668466	NLS-bearing protein import into nucleus [GO:0006607]	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]
TRINITY_DN277252_c0_g1	11.2508215587905	2.36803934037269	0.0175055533064275	0.00228505445421542		ATPase activity [GO:0016887]; ATP binding [GO:0005524]
TRINITY_DN274697_c0_g1	10.2891340967274	2.03818416596718	0.0214225400430469	0.00292094083947198	gene silencing by RNA [GO:0031047]; miRNA catabolic process [GO:0010587]; regulation of cell cycle process [GO:0010564]; RNA catabolic process [GO:0006401]	endonuclease activity [GO:0004519]; endoribonuclease activity [GO:0004521]; nuclease activity [GO:0004518]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]
TRINITY_DN278965_c0_g1	12.4501046720134	2.65640910387906	0.0125433290851815	0.00155221164446673	macromolecule modification [GO:0043412]; oxidation-reduction process [GO:0055114]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; peptidyl-proline 4-dioxygenase activity [GO:0031545]; procollagen-proline 4-dioxygenase activity [GO:0004656]
TRINITY_DN175487_c0_g1	5.43946444243985	2.04291970742832	0.118810374626556	0.0260269576726349	regulation of transcription, DNA-templated [GO:0006355]; rRNA base methylation [GO:0070475]	RNA binding [GO:0003723]; rRNA (cytosine-C5-)-methyltransferase activity [GO:0009383]
TRINITY_DN276943_c0_g1	12.0273325946599	3.05480846917729	0.013541652173315	0.00170200410191261	apoptotic process [GO:0006915]; defense response [GO:0006952]; fibroblast growth factor receptor signaling pathway [GO:0008543]; germ cell development [GO:0007281]; positive regulation of cell population proliferation [GO:0008284]; regulation of transcription by RNA polymerase II [GO:0006357]; stem cell division [GO:0017145]	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]
TRINITY_DN151688_c0_g1	8.34870737629413	1.72994777259998	0.0360129296042038	0.00576408631020783	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	enzyme regulator activity [GO:0030234]
TRINITY_DN271596_c0_g1	8.91662404629201	1.94151296592286	0.0332337318645814	0.00527130225213102	cell redox homeostasis [GO:0045454]	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]
TRINITY_DN227360_c0_g2	8.19768846534768	1.63390718845402	0.031935813591931	0.00498492390704313	microtubule-based movement [GO:0007018]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]
TRINITY_DN231504_c0_g1	8.45299749601324	1.65092527045084	0.031935813591931	0.00498769395059818	CDP-diacylglycerol biosynthetic process [GO:0016024]; multicellular organism development [GO:0007275]; phosphatidylinositol acyl-chain remodeling [GO:0036149]; phospholipid metabolic process [GO:0006644]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; transferase activity, transferring acyl groups [GO:0016746]
TRINITY_DN277373_c0_g1	11.0641900705276	2.85535642223525	0.0193441577613497	0.00258130441209609	cell division [GO:0051301]; DNA repair [GO:0006281]; mitotic DNA damage checkpoint [GO:0044773]; positive regulation of histone H3-K9 methylation [GO:0051574]; signal transduction in response to DNA damage [GO:0042770]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
TRINITY_DN151705_c0_g1	10.1247178718277	2.11114246946171	0.02378727601884	0.00339523631269556	cell redox homeostasis [GO:0045454]; glycoprotein metabolic process [GO:0009100]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	protein disulfide isomerase activity [GO:0003756]
TRINITY_DN296771_c4_g2	11.1157062922759	2.22795715103984	0.0181846486637921	0.0023913253654809	calcium-mediated signaling [GO:0019722]	calcium ion binding [GO:0005509]
TRINITY_DN278325_c0_g1	11.3255773115413	2.59120521062589	0.0182909998002133	0.0024171305067164	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]	mRNA binding [GO:0003729]
TRINITY_DN102431_c0_g1	7.87968942125049	1.5948412518851	0.039492658666223	0.00646939513530696	tyrosyl-tRNA aminoacylation [GO:0006437]	ATP binding [GO:0005524]; tRNA binding [GO:0000049]; tyrosine-tRNA ligase activity [GO:0004831]
TRINITY_DN10208_c0_g1	3.02972797203774	1.5791121573681	0.439948428023698	0.199860239840755	anterior/posterior pattern specification [GO:0009952]; morphogenesis of embryonic epithelium [GO:0016331]; mRNA polyadenylation [GO:0006378]; tRNA processing [GO:0008033]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
TRINITY_DN255960_c0_g1	10.3270327609439	2.71605758204736	0.0268830195739531	0.00394984693503924		ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
TRINITY_DN256557_c0_g2	8.14274602726073	1.66289252258366	0.0387495732059418	0.00631010820542639	positive regulation of lipid storage [GO:0010884]	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]
TRINITY_DN46127_c0_g1	8.14274602726073	1.66289252258366	0.0387495732059418	0.00631010820542639	mRNA splicing, via spliceosome [GO:0000398]; U2-type prespliceosome assembly [GO:1903241]	RNA binding [GO:0003723]
TRINITY_DN172940_c0_g1	9.13456988244307	1.84225530996764	0.0302926946380337	0.00463933352453247	glycine decarboxylation via glycine cleavage system [GO:0019464]; protein lipoylation [GO:0009249]	aminomethyltransferase activity [GO:0004047]; enzyme binding [GO:0019899]
TRINITY_DN298605_c1_g1	9.80003507609302	3.51843858247441	0.0159859458151533	0.00207120008784377	fumarate metabolic process [GO:0006106]; tricarboxylic acid cycle [GO:0006099]	fumarate reductase (NADH) activity [GO:0016156]; succinate dehydrogenase activity [GO:0000104]
TRINITY_DN294767_c5_g3	5.99843807825628	1.92654168649998	0.113435568607048	0.0244830241775471	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN34409_c0_g1	8.36612758565182	1.72859817470805	0.0382831413785545	0.00620941420744245	protein ufmylation [GO:0071569]	
TRINITY_DN238280_c0_g1	10.0903010984653	2.24598420492404	0.027106939472477	0.00400254324359354	alanyl-tRNA aminoacylation [GO:0006419]; tRNA modification [GO:0006400]	alanine-tRNA ligase activity [GO:0004813]; amino acid binding [GO:0016597]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]
TRINITY_DN228040_c0_g1	9.55323310824479	2.23065400795893	0.0332337318645814	0.00527229801147318	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of collagen binding [GO:0033342]; negative regulation of DNA replication [GO:0008156]; negative regulation of protein ubiquitination [GO:0031397]; osteoblast differentiation [GO:0001649]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]
TRINITY_DN255879_c0_g1	7.56125760809866	2.44093633255974	0.0567972422371552	0.0100932094444056	ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
TRINITY_DN294767_c5_g1	9.5358362422735	3.05763182390952	0.0274156517461753	0.00408355911308136	cytoplasmic translation [GO:0002181]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN292998_c5_g4	4.41318009829568	1.54135318921884	0.155365672392254	0.0393057581528708	regulation of translational fidelity [GO:0006450]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN517_c0_g1	3.85517142834738	1.30276620532086	0.202894987871892	0.0580168220570677	anther wall tapetum development [GO:0048658]; defense response to fungus [GO:0050832]; plant-type hypersensitive response [GO:0009626]; pollen development [GO:0009555]; programmed cell death involved in cell development [GO:0010623]; proteolysis involved in cellular protein catabolic process [GO:0051603]	cysteine-type endopeptidase activity [GO:0004197]
TRINITY_DN4924_c0_g1	3.40928303492773	1.48490393334079	0.321128517407603	0.121395917727591	negative regulation of transcription, DNA-templated [GO:0045892]	DNA binding [GO:0003677]
TRINITY_DN292335_c2_g3	9.67843841621811	2.90511110285674	0.0233324562588561	0.00330197603921776	negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; signaling [GO:0023052]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; Ran guanyl-nucleotide exchange factor activity [GO:0005087]
TRINITY_DN255282_c0_g2	4.08987678699152	1.46029501462055	0.245281278616992	0.0784583088306372	protein folding [GO:0006457]; response to cadmium ion [GO:0046686]; response to zinc ion [GO:0010043]	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
TRINITY_DN254215_c0_g1	4.92596272051579	2.86959115360444	0.999895446034155	0.999646134685058	multicellular organism development [GO:0007275]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of translation [GO:0045727]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN6785_c0_g1	4.55416339941347	1.5480694629326	0.243433750121412	0.0773167613471237	cellular response to phosphate starvation [GO:0016036]; phosphate-containing compound metabolic process [GO:0006796]; phospholipid catabolic process [GO:0009395]	acid phosphatase activity [GO:0003993]; lysophosphatidic acid phosphatase activity [GO:0052642]
TRINITY_DN314624_c7_g1	3.67278383417041	1.71385288258231	0.313386944563917	0.115910105201744	modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]
TRINITY_DN311465_c0_g1	3.96929001417939	1.75363735744791	0.309605439169257	0.113530429633652	translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
TRINITY_DN311476_c1_g1	5.251153414206	1.85537108194237	0.202694184591365	0.0578151077520936	microtubule-based process [GO:0007017]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN311789_c3_g5	6.24196800368314	2.60274360708156	0.142991457190969	0.0342809890906943	microtubule-based process [GO:0007017]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN160346_c0_g1	2.30783821626821	1.85472613159099	0.569533707902305	0.301920530395643	positive regulation of autophagy [GO:0010508]	oxidoreductase activity [GO:0016491]
TRINITY_DN340826_c0_g1	2.05884300591717	1.27282520373842	0.999895446034155	0.999509261320736	flower development [GO:0009908]; histone H3-K14 acetylation [GO:0044154]; histone H3-K9 acetylation [GO:0043970]; positive regulation of wax biosynthetic process [GO:1904278]; regulation of vegetative phase change [GO:0010321]; response to light stimulus [GO:0009416]; root morphogenesis [GO:0010015]	DNA binding [GO:0003677]; H3 histone acetyltransferase activity [GO:0010484]
TRINITY_DN294675_c1_g3	3.30077036385196	1.70920460311309	0.439948428023698	0.200264239313031	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
TRINITY_DN296270_c3_g3	2.94993880747576	5.48876354877884	0.331958757873258	0.128493244566127		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
TRINITY_DN293398_c1_g1	4.24216489488548	1.49074560252186	0.203559646148229	0.0584699597498466	ATP synthesis coupled proton transport [GO:0015986]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
TRINITY_DN25183_c0_g1	1.80145778090404	1.242450381009	0.999895446034155	0.999624122658279		
TRINITY_DN310739_c1_g1	5.1964872929937	5.06815406335407	0.259325772179604	0.0851292357138863		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
TRINITY_DN294767_c5_g4	4.01298209058391	2.53014264544153	0.324931130546603	0.123683594947933	cytoplasmic translation [GO:0002181]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN292338_c3_g2	2.720789391876	1.78135959467931	0.984253162436714	0.828426328965312	translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
TRINITY_DN115882_c0_g1	2.06562427648567	1.63884169338473	0.999895446034155	0.999581797917297		ATPase activity [GO:0016887]; ATP binding [GO:0005524]
TRINITY_DN311752_c0_g3	3.35384634929693	1.25435263630367	0.241805714456185	0.0767215546352094		8-oxo-dGTP phosphohydrolase activity [GO:0102490]; ATP binding [GO:0005524]; dATP phosphohydrolase activity [GO:0102485]; dCTP phosphohydrolase activity [GO:0102486]; dGTP phosphohydrolase activity [GO:0102491]; dTTP phosphohydrolase activity [GO:0102488]; dUTP phosphohydrolase activity [GO:0102487]; GTP phosphohydrolase activity [GO:0102489]
TRINITY_DN314154_c3_g3	3.35384634929693	1.25435263630367	0.241805714456185	0.0767215546352094	axon extension [GO:0048675]; cellular response to interleukin-4 [GO:0071353]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of transforming growth factor beta activation [GO:1901389]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; regulation of cellular protein localization [GO:1903827]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of protein ubiquitination [GO:0031396]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]	ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; tau protein binding [GO:0048156]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
TRINITY_DN316904_c5_g1	4.6373995647702	2.03127994077603	0.325956322372772	0.124274139062963	modification-dependent protein catabolic process [GO:0019941]; polarity specification of anterior/posterior axis [GO:0009949]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]
TRINITY_DN292978_c1_g3	2.60573077916758	2.11576580380662	0.565978989651156	0.296284813148473	ATP synthesis coupled proton transport [GO:0015986]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
TRINITY_DN298615_c0_g2	2.93533365168917	11.8035406980898	0.034460871803926	0.00548924387700662	carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; defense response [GO:0006952]	glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]
TRINITY_DN663141_c0_g1	1.86456707367081	1.28418087604162	0.999895446034155	0.999509261321889	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	structural constituent of ribosome [GO:0003735]
