GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
TRINITY_DN172940_c0_g1	9.134569882	1.84225531	10.60346497	0.004639334	0.030292695	Q5I0P2	TRINITY_DN172940_c0_g1_i1	1.00E-38	"Glycine cleavage system H protein, mitochondrial (Lipoic acid-containing protein)"	glycine decarboxylation via glycine cleavage system [GO:0019464]; protein lipoylation [GO:0009249]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	aminomethyltransferase activity [GO:0004047]; enzyme binding [GO:0019899]	GO:0004047; GO:0005739; GO:0005960; GO:0009249; GO:0019464; GO:0019899	reviewed	Rattus norvegicus (Rat)
TRINITY_DN175296_c0_g1	6.812930831	8.111250344	66.48563787	3.06E-08	7.63E-07	P29057	TRINITY_DN175296_c0_g1_i1	4.60E-64	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; plastid membrane [GO:0042170]	coenzyme binding [GO:0050662]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]	GO:0004420; GO:0005789; GO:0008299; GO:0015936; GO:0016021; GO:0031966; GO:0042170; GO:0050662	reviewed	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
TRINITY_DN2119_c1_g1	10.97418726	2.214686917	19.60043684	0.000367456	0.003716585	Q8GWR0	TRINITY_DN2119_c1_g1_i1	1.40E-39	"Cytochrome c oxidase assembly protein COX11, mitochondrial"	pollen germination [GO:0009846]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; post-embryonic root morphogenesis [GO:0010101]	integral component of mitochondrial membrane [GO:0032592]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	copper ion binding [GO:0005507]; protein self-association [GO:0043621]	GO:0005507; GO:0005739; GO:0005743; GO:0009846; GO:0010101; GO:0032592; GO:0043621; GO:1904960	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN22035_c0_g1	7.098861686	1.527540731	9.650999666	0.006402138	0.039159319	O42899	TRINITY_DN22035_c0_g1_i1	5.00E-34	Protein sco1	cellular copper ion homeostasis [GO:0006878]; copper ion transport [GO:0006825]; mitochondrial respiratory chain complex IV assembly [GO:0033617]	mitochondrial inner membrane [GO:0005743]	copper chaperone activity [GO:0016531]	GO:0005743; GO:0006825; GO:0006878; GO:0016531; GO:0033617	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
TRINITY_DN223640_c0_g1	-9.412955251	1.997297604	11.70679459	0.003036758	0.021956702	P74327	TRINITY_DN223640_c0_g1_i1	8.30E-16	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	rRNA processing [GO:0006364]	cytoplasm [GO:0005737]	ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]	GO:0004525; GO:0005737; GO:0006364; GO:0019843	reviewed	Synechocystis sp. (strain PCC 6803 / Kazusa)
TRINITY_DN223644_c0_g1	20.69243682	7.453467239	170.7888035	2.90E-11	1.06E-09	Q9P783	TRINITY_DN223644_c0_g1_i1	4.90E-38	Ribosome assembly protein rrb1	ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]		GO:0005634; GO:0005730; GO:0005829; GO:0006364; GO:0042254	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
TRINITY_DN223830_c0_g1	-10.25421077	6.698303266	30.17291262	1.38E-05	0.0002051	Q38885	TRINITY_DN223830_c0_g1_i1	2.10E-92	"Preprotein translocase subunit SCY1, chloroplastic (CpSecY)"	"SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; thylakoid membrane organization [GO:0010027]"	chloroplast [GO:0009507]; chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	protein transmembrane transporter activity [GO:0008320]; signal sequence binding [GO:0005048]	GO:0005048; GO:0006616; GO:0008320; GO:0009507; GO:0009535; GO:0010027; GO:0016021	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN226183_c0_g1	21.57003222	8.167007166	218.9342458	2.97E-13	1.84E-11	Q54EW1	TRINITY_DN226183_c0_g1_i2	1.20E-158	Serine hydroxymethyltransferase 2 (SHMT 2) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 2) (Serine methylase 2)	cellular response to tetrahydrofolate [GO:1904482]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; glycine metabolic process [GO:0006544]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	mitochondrial matrix [GO:0005759]	amino acid binding [GO:0016597]; cobalt ion binding [GO:0050897]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]	GO:0004372; GO:0005759; GO:0006544; GO:0006565; GO:0006730; GO:0008270; GO:0016597; GO:0019264; GO:0030170; GO:0035999; GO:0046653; GO:0046655; GO:0050897; GO:0070905; GO:1904482	reviewed	Dictyostelium discoideum (Slime mold)
TRINITY_DN226613_c0_g1	8.268831521	1.903304938	11.77702421	0.002635907	0.019610898	P00505	TRINITY_DN226613_c0_g1_i1	5.60E-92	"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)"	2-oxoglutarate metabolic process [GO:0006103]; 4-hydroxyproline catabolic process [GO:0019470]; aspartate biosynthetic process [GO:0006532]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; cellular amino acid biosynthetic process [GO:0008652]; fatty acid transport [GO:0015908]; female pregnancy [GO:0007565]; gluconeogenesis [GO:0006094]; glutamate catabolic process to 2-oxoglutarate [GO:0019551]; glutamate catabolic process to aspartate [GO:0019550]; glutamate metabolic process [GO:0006536]; glyoxylate metabolic process [GO:0046487]; lactation [GO:0007595]; oxaloacetate metabolic process [GO:0006107]; response to ethanol [GO:0045471]; response to insulin [GO:0032868]; response to morphine [GO:0043278]; response to muscle activity [GO:0014850]	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; T-tubule [GO:0030315]	amino acid binding [GO:0016597]; enzyme binding [GO:0019899]; kynurenine-oxoglutarate transaminase activity [GO:0016212]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; RNA binding [GO:0003723]	GO:0003723; GO:0004069; GO:0005543; GO:0005739; GO:0005743; GO:0005759; GO:0005886; GO:0006094; GO:0006103; GO:0006107; GO:0006531; GO:0006532; GO:0006533; GO:0006536; GO:0007565; GO:0007595; GO:0008652; GO:0009986; GO:0014850; GO:0015908; GO:0016212; GO:0016597; GO:0019470; GO:0019550; GO:0019551; GO:0019899; GO:0030170; GO:0030315; GO:0032868; GO:0032991; GO:0042803; GO:0043204; GO:0043278; GO:0045471; GO:0046487; GO:0070062	reviewed	Homo sapiens (Human)
TRINITY_DN226664_c0_g1	5.879876934	8.413919916	28.04921286	2.23E-05	0.000311545	Q9ZVP5	TRINITY_DN226664_c0_g1_i1	7.20E-70	Mitogen-activated protein kinase kinase kinase 18 (EC 2.7.11.25)	abscisic acid-activated signaling pathway [GO:0009738]; activation of protein kinase activity [GO:0032147]; negative regulation of stomatal opening [GO:1902457]; positive regulation of abscisic acid-activated signaling pathway [GO:0009789]; positive regulation of leaf senescence [GO:1900057]; protein autophosphorylation [GO:0046777]; regulation of stomatal complex development [GO:2000038]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005737; GO:0006970; GO:0009737; GO:0009738; GO:0009789; GO:0023014; GO:0031098; GO:0032147; GO:0046777; GO:1900057; GO:1902457; GO:2000038	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN226686_c0_g1	19.09657898	7.875067812	152.1494604	1.25E-11	4.66E-10	Q13630	TRINITY_DN226686_c0_g1_i1	2.80E-116	"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)"	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]; leukocyte cell-cell adhesion [GO:0007159]; T cell mediated cytotoxicity [GO:0001913]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]	"coenzyme binding [GO:0050662]; electron transfer activity [GO:0009055]; GDP-4-dehydro-D-rhamnose reductase activity [GO:0042356]; GDP-L-fucose synthase activity [GO:0050577]; GDP-mannose 3,5-epimerase activity [GO:0047918]; identical protein binding [GO:0042802]"	GO:0001913; GO:0005829; GO:0007159; GO:0009055; GO:0019673; GO:0042351; GO:0042356; GO:0042802; GO:0047918; GO:0050577; GO:0050662; GO:0070062	reviewed	Homo sapiens (Human)
TRINITY_DN226922_c0_g1	11.64871994	3.021693754	18.94145806	0.000307842	0.00322973	Q9LSG3	TRINITY_DN226922_c0_g1_i1	3.40E-08	Galacturonosyltransferase 8 (EC 2.4.1.-) (Glycosyltransferase QUASIMODO1)	cell adhesion [GO:0007155]; homogalacturonan biosynthetic process [GO:0010289]; pectin biosynthetic process [GO:0045489]	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; trans-Golgi network [GO:0005802]	"polygalacturonate 4-alpha-galacturonosyltransferase activity [GO:0047262]; transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0000139; GO:0005739; GO:0005768; GO:0005794; GO:0005802; GO:0007155; GO:0010289; GO:0016021; GO:0016757; GO:0045489; GO:0047262	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN227360_c0_g2	8.197688465	1.633907188	10.38757247	0.004984924	0.031935814	F4HZF0	TRINITY_DN227360_c0_g2_i1	2.20E-38	Kinesin-like protein KIN-14H	microtubule-based movement [GO:0007018]	kinesin complex [GO:0005871]; microtubule [GO:0005874]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN228040_c0_g1	9.553233108	2.230654008	10.22052234	0.005272298	0.033233732	Q9BZE4	TRINITY_DN228040_c0_g1_i1	4.70E-35	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of collagen binding [GO:0033342]; negative regulation of DNA replication [GO:0008156]; negative regulation of protein ubiquitination [GO:0031397]; osteoblast differentiation [GO:0001649]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]"	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]	GO:0000079; GO:0000463; GO:0001649; GO:0003723; GO:0003924; GO:0005525; GO:0005634; GO:0005730; GO:0005737; GO:0005794; GO:0005829; GO:0008156; GO:0008285; GO:0016020; GO:0022408; GO:0030336; GO:0031397; GO:0031965; GO:0033342; GO:0048471; GO:0050821	reviewed	Homo sapiens (Human)
TRINITY_DN228042_c0_g1	-9.495679553	2.517460845	13.77578098	0.001289494	0.010757372	O80528	TRINITY_DN228042_c0_g1_i1	6.60E-58	Serine/threonine-protein kinase haspin homolog (AtHaspin) (EC 2.7.11.1)	histone H3-T11 phosphorylation [GO:0035407]; histone H3-T3 phosphorylation [GO:0072355]; intracellular signal transduction [GO:0035556]; mitotic cell cycle [GO:0000278]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; phragmoplast [GO:0009524]	ATP binding [GO:0005524]; histone kinase activity (H3-T11 specific) [GO:0035402]; histone kinase activity (H3-T3 specific) [GO:0072354]; protein serine/threonine kinase activity [GO:0004674]	GO:0000278; GO:0004674; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0005856; GO:0009524; GO:0035402; GO:0035407; GO:0035556; GO:0048471; GO:0072354; GO:0072355	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN231207_c0_g1	-6.316199447	5.903988265	14.59724519	0.00087566	0.007810284	Q7Y1L9	TRINITY_DN231207_c0_g1_i1	1.10E-12	Protein SPIRAL1-like 1	cortical microtubule organization [GO:0043622]	"cortical microtubule, transverse to long axis [GO:0010005]"		GO:0010005; GO:0043622	reviewed	Oryza sativa subsp. japonica (Rice)
TRINITY_DN231504_c0_g1	8.452997496	1.65092527	10.38591085	0.004987694	0.031935814	Q5F3X0	TRINITY_DN231504_c0_g1_i1	6.80E-28	Lysocardiolipin acyltransferase 1 (EC 2.3.1.-) (1-acylglycerol-3-phosphate O-acyltransferase 8) (1-AGP acyltransferase 8) (1-AGPAT 8) (EC 2.3.1.51) (Acyl-CoA:lysocardiolipin acyltransferase 1)	CDP-diacylglycerol biosynthetic process [GO:0016024]; multicellular organism development [GO:0007275]; phosphatidylinositol acyl-chain remodeling [GO:0036149]; phospholipid metabolic process [GO:0006644]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	"1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; transferase activity, transferring acyl groups [GO:0016746]"	GO:0003841; GO:0005783; GO:0005789; GO:0005829; GO:0006644; GO:0007275; GO:0016021; GO:0016024; GO:0016746; GO:0036149	reviewed	Gallus gallus (Chicken)
TRINITY_DN231598_c0_g2	8.123754884	1.585223318	10.4339026	0.004908382	0.031648837	Q95JF4	TRINITY_DN231598_c0_g2_i1	8.60E-25	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (DJ-2) (Mydj2)	negative regulation of apoptotic process [GO:0043066]; negative regulation of JUN kinase activity [GO:0043508]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	GO:0001671; GO:0005524; GO:0005634; GO:0005739; GO:0005783; GO:0006457; GO:0009408; GO:0016020; GO:0030544; GO:0043065; GO:0043066; GO:0043508; GO:0046872; GO:0048471; GO:0051082; GO:0051087; GO:0051223; GO:0070585	reviewed	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
TRINITY_DN233040_c0_g2	9.015096481	1.812795093	10.87324932	0.004244828	0.028314099	Q9VVI9	TRINITY_DN233040_c0_g2_i1	1.80E-38	Charged multivesicular body protein 5 (Vacuolar protein-sorting-associated protein 60)	endosome transport via multivesicular body sorting pathway [GO:0032509]; protein transport [GO:0015031]; vacuolar transport [GO:0007034]	ESCRT III complex [GO:0000815]		GO:0000815; GO:0007034; GO:0015031; GO:0032509	reviewed	Drosophila melanogaster (Fruit fly)
TRINITY_DN233686_c0_g1	10.97524919	4.800416979	19.98246642	0.000173874	0.001993116	Q9XIV8	TRINITY_DN233686_c0_g1_i1	6.20E-98	Peroxidase N1 (EC 1.11.1.7) (Peroxidase B2) (Peroxidase B3)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	extracellular region [GO:0005576]	heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872	reviewed	Nicotiana tabacum (Common tobacco)
TRINITY_DN234168_c0_g1	19.70795841	6.830639992	121.4789691	5.91E-10	1.71E-08	P40412	TRINITY_DN234168_c0_g1_i1	4.00E-09	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon) (TCP-K19)	protein folding [GO:0006457]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	GO:0005524; GO:0005737; GO:0006457; GO:0051082	reviewed	Avena sativa (Oat)
TRINITY_DN234177_c0_g1	-7.186335703	4.01711896	10.98118721	0.003024102	0.021956702	Q9FIK1	TRINITY_DN234177_c0_g1_i1	2.40E-105	BTB/POZ domain-containing protein At5g47800	protein ubiquitination [GO:0016567]			GO:0016567	reviewed	Arabidopsis thaliana (Mouse-ear cress)
