	GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
11	TRINITY_DN255273_c0_g1	19.56437005	13.25833804	107.9511823	3.94E-12	6.02E-10	Q8IXJ6	TRINITY_DN255273_c0_g1_i1	7.40E-11	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	"autophagy [GO:0006914]; cell division [GO:0051301]; cellular lipid catabolic process [GO:0044242]; cellular response to caloric restriction [GO:0061433]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hypoxia [GO:0071456]; cellular response to molecule of bacterial origin [GO:0071219]; cellular response to oxidative stress [GO:0034599]; chromatin silencing [GO:0006342]; chromatin silencing at rDNA [GO:0000183]; chromatin silencing at telomere [GO:0006348]; gene silencing [GO:0016458]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; innate immune response [GO:0045087]; meiotic cell cycle [GO:0051321]; myelination in peripheral nervous system [GO:0022011]; negative regulation of autophagy [GO:0010507]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of defense response to bacterium [GO:1900425]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of oligodendrocyte progenitor proliferation [GO:0070446]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of striated muscle tissue development [GO:0045843]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061428]; peptidyl-lysine deacetylation [GO:0034983]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cell division [GO:0051781]; positive regulation of DNA binding [GO:0043388]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia [GO:2000777]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ADP-ribosylation [GO:0006471]; protein deacetylation [GO:0006476]; protein kinase B signaling [GO:0043491]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; regulation of myelination [GO:0031641]; regulation of phosphorylation [GO:0042325]; response to redox state [GO:0051775]; substantia nigra development [GO:0021762]; tubulin deacetylation [GO:0090042]"	"centriole [GO:0005814]; centrosome [GO:0005813]; chromatin silencing complex [GO:0005677]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; juxtaparanode region of axon [GO:0044224]; lateral loop [GO:0043219]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; midbody [GO:0030496]; mitochondrion [GO:0005739]; mitotic spindle [GO:0072686]; myelin sheath [GO:0043209]; nuclear heterochromatin [GO:0005720]; nucleolus [GO:0005730]; nucleus [GO:0005634]; paranodal junction [GO:0033010]; paranode region of axon [GO:0033270]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; Schmidt-Lanterman incisure [GO:0043220]; spindle [GO:0005819]"	chromatin binding [GO:0003682]; histone acetyltransferase binding [GO:0035035]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H4-K16 specific) [GO:0046970]; NAD-dependent protein deacetylase activity [GO:0034979]; protein deacetylase activity [GO:0033558]; transcription factor binding [GO:0008134]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]	GO:0000122; GO:0000183; GO:0000781; GO:0003682; GO:0004407; GO:0005634; GO:0005677; GO:0005694; GO:0005720; GO:0005730; GO:0005737; GO:0005739; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005886; GO:0006342; GO:0006348; GO:0006471; GO:0006476; GO:0006914; GO:0007096; GO:0008134; GO:0008270; GO:0008285; GO:0010507; GO:0010801; GO:0014065; GO:0016458; GO:0016575; GO:0017136; GO:0021762; GO:0022011; GO:0030426; GO:0030496; GO:0031641; GO:0032436; GO:0033010; GO:0033270; GO:0033558; GO:0034599; GO:0034979; GO:0034983; GO:0035035; GO:0035729; GO:0042177; GO:0042325; GO:0042826; GO:0042903; GO:0043130; GO:0043161; GO:0043204; GO:0043209; GO:0043219; GO:0043220; GO:0043388; GO:0043491; GO:0044224; GO:0044242; GO:0045087; GO:0045599; GO:0045836; GO:0045843; GO:0045892; GO:0045944; GO:0046970; GO:0048012; GO:0048471; GO:0051301; GO:0051321; GO:0051726; GO:0051775; GO:0051781; GO:0051987; GO:0061428; GO:0061433; GO:0070403; GO:0070446; GO:0070932; GO:0070933; GO:0071219; GO:0071456; GO:0071872; GO:0072686; GO:0072687; GO:0090042; GO:0097386; GO:1900119; GO:1900195; GO:1900226; GO:1900425; GO:2000378; GO:2000777	reviewed	Homo sapiens (Human)
12	TRINITY_DN255903_c0_g1	16.41968284	9.59453111	39.20731433	8.69E-07	2.53E-05	Q5BJJ7	TRINITY_DN255903_c0_g1_i1	1.50E-08	Protein BCCIP homolog	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; establishment of mitotic spindle orientation [GO:0000132]; microtubule anchoring [GO:0034453]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	centriole [GO:0005814]; centrosome [GO:0005813]; mitotic spindle pole [GO:0097431]; nucleus [GO:0005634]	kinase regulator activity [GO:0019207]; tubulin binding [GO:0015631]	GO:0000079; GO:0000132; GO:0000226; GO:0005634; GO:0005813; GO:0005814; GO:0006281; GO:0006974; GO:0007052; GO:0015631; GO:0019207; GO:0034453; GO:0090307; GO:0097431	reviewed	Danio rerio (Zebrafish) (Brachydanio rerio)
13	TRINITY_DN256449_c0_g1	16.09956622	9.258301558	37.10442962	1.37E-06	3.91E-05	Q29350	TRINITY_DN256449_c0_g1_i1	2.00E-08	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)	"mRNA splicing, via spliceosome [GO:0000398]"	nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; U2AF [GO:0089701]	metal ion binding [GO:0046872]; pre-mRNA 3'-splice site binding [GO:0030628]	GO:0000398; GO:0005681; GO:0016607; GO:0030628; GO:0046872; GO:0089701	reviewed	Sus scrofa (Pig)
14	TRINITY_DN259150_c0_g1	-9.072361637	7.231336227	10.38719778	0.003106981	0.04061268	Q6AYG5	TRINITY_DN259150_c0_g1_i1	2.00E-27	Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD) (EC 7.2.4.3)	fatty acid beta-oxidation [GO:0006635]	cytosol [GO:0005829]	carboxy-lyase activity [GO:0016831]; enoyl-CoA hydratase activity [GO:0004300]	GO:0004300; GO:0005829; GO:0006635; GO:0016831	reviewed	Rattus norvegicus (Rat)
15	TRINITY_DN271642_c0_g1	19.9376128	14.06191571	107.361798	4.23E-12	6.02E-10	P35728	TRINITY_DN271642_c0_g1_i1	2.00E-14	Protein MPE1	mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; protein ubiquitination [GO:0016567]	cytosol [GO:0005829]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]	pre-mRNA binding [GO:0036002]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0005634; GO:0005829; GO:0005847; GO:0006378; GO:0008270; GO:0016567; GO:0036002; GO:0061630; GO:0098789	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
16	TRINITY_DN271666_c1_g1	18.02592667	10.14568525	53.15141814	5.79E-08	1.81E-06	O42881	TRINITY_DN271666_c1_g1_i1	1.20E-07	Acyl-protein thioesterase 1 (EC 3.1.2.-)	fatty acid metabolic process [GO:0006631]; protein depalmitoylation [GO:0002084]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	carboxylic ester hydrolase activity [GO:0052689]; palmitoyl-(protein) hydrolase activity [GO:0008474]	GO:0002084; GO:0005634; GO:0005737; GO:0005829; GO:0006631; GO:0008474; GO:0052689	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
17	TRINITY_DN274712_c0_g1	19.48917008	14.44543729	85.85115813	7.32E-11	3.60E-09	Q6P7K0	TRINITY_DN274712_c0_g1_i1	5.50E-09	Carboxymethylenebutenolidase homolog (EC 3.1.-.-)		cytosol [GO:0005829]	hydrolase activity [GO:0016787]	GO:0005829; GO:0016787	reviewed	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
18	TRINITY_DN274805_c0_g2	18.46155069	14.38921015	101.942186	8.30E-12	7.09E-10	P14318	TRINITY_DN274805_c0_g2_i1	7.90E-17	Muscle-specific protein 20	myoblast fusion [GO:0007520]; regulation of myoblast fusion [GO:1901739]	cytoplasm [GO:0005737]	actin binding [GO:0003779]	GO:0003779; GO:0005737; GO:0007520; GO:1901739	reviewed	Drosophila melanogaster (Fruit fly)
19	TRINITY_DN274840_c0_g1	18.05708077	13.08541244	77.70118076	2.47E-10	1.09E-08	Q724J4	TRINITY_DN274840_c0_g1_i1	2.10E-10	Bifunctional protein TilS/HprT [Includes: tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase); Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)]	purine ribonucleoside salvage [GO:0006166]; tRNA modification [GO:0006400]	cytoplasm [GO:0005737]	"ATP binding [GO:0005524]; guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]"	GO:0004422; GO:0005524; GO:0005737; GO:0006166; GO:0006400; GO:0016879; GO:0046872; GO:0052657	reviewed	Listeria monocytogenes serotype 4b (strain F2365)
20	TRINITY_DN276416_c0_g1	19.5664093	10.89077279	80.93201806	8.60E-10	3.15E-08	Q8CHB8	TRINITY_DN276416_c0_g1_i1	1.40E-12	Tubulin polyglutamylase TTLL5 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 5)	fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; protein polyglutamylation [GO:0018095]; retina development in camera-type eye [GO:0060041]; spermatogenesis [GO:0007283]; sperm axoneme assembly [GO:0007288]	centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ligase activity [GO:0016874]	GO:0005524; GO:0005634; GO:0005813; GO:0005829; GO:0005874; GO:0005886; GO:0005929; GO:0007283; GO:0007288; GO:0009566; GO:0016874; GO:0018095; GO:0030317; GO:0060041	reviewed	Mus musculus (Mouse)
21	TRINITY_DN277082_c0_g1	20.31931657	14.32280678	105.9650327	5.02E-12	6.43E-10	Q8C0T9	TRINITY_DN277082_c0_g1_i1	5.70E-13	Adenylate cyclase type 10 (EC 4.6.1.1) (Germ cell soluble adenylyl cyclase) (sAC) (Testicular soluble adenylyl cyclase)	cAMP biosynthetic process [GO:0006171]; cellular response to inorganic substance [GO:0071241]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; intracellular signal transduction [GO:0035556]; positive regulation of apoptotic process [GO:0043065]; spermatogenesis [GO:0007283]	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basal part of cell [GO:0045178]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular region [GO:0005576]; growth cone [GO:0030426]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	adenylate cyclase activity [GO:0004016]; ATPase binding [GO:0051117]; ATP binding [GO:0005524]; bicarbonate binding [GO:0071890]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]	GO:0000287; GO:0003351; GO:0004016; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006171; GO:0007283; GO:0015630; GO:0016020; GO:0016324; GO:0030145; GO:0030424; GO:0030425; GO:0030426; GO:0031514; GO:0035556; GO:0043025; GO:0043065; GO:0045177; GO:0045178; GO:0048471; GO:0051117; GO:0071241; GO:0071890	reviewed	Mus musculus (Mouse)
22	TRINITY_DN277202_c0_g1	15.84070488	9.144768434	36.39285442	1.61E-06	4.48E-05	Q5R3I4	TRINITY_DN277202_c0_g1_i1	4.80E-06	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)		extracellular exosome [GO:0070062]		GO:0070062	reviewed	Homo sapiens (Human)
23	TRINITY_DN277209_c0_g1	8.619151792	7.606074106	9.847680124	0.003692889	0.047305904	E5A7I6	TRINITY_DN277209_c0_g1_i1	1.70E-12	Carboxypeptidase Y homolog A (EC 3.4.16.5)		vacuole [GO:0005773]	serine-type carboxypeptidase activity [GO:0004185]	GO:0004185; GO:0005773	reviewed	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)
24	TRINITY_DN277328_c0_g1	20.32510447	12.02493955	108.6143054	1.06E-11	8.02E-10	Q55E58	TRINITY_DN277328_c0_g1_i1	8.00E-07	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)	cheating during chimeric sorocarp development [GO:0099139]; mitotic cytokinesis [GO:0000281]; protein dephosphorylation [GO:0006470]	actomyosin [GO:0042641]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine kinase activity [GO:0004674]	GO:0000281; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0006470; GO:0042641; GO:0099139	reviewed	Dictyostelium discoideum (Slime mold)
25	TRINITY_DN277371_c0_g1	18.46826037	14.39292493	88.41224435	5.08E-11	2.83E-09	O31782	TRINITY_DN277371_c0_g1_i3	3.40E-16	Polyketide synthase PksN (EC 2.3.1.-)	metabolic process [GO:0008152]	cytoplasm [GO:0005737]	"ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; transferase activity, transferring acyl groups [GO:0016746]"	GO:0005737; GO:0008152; GO:0016746; GO:0016874; GO:0031177	reviewed	Bacillus subtilis (strain 168)
26	TRINITY_DN278382_c0_g1	19.48864017	10.85987755	79.18325597	1.08E-09	3.86E-08	Q9C1X4	TRINITY_DN278382_c0_g1_i1	5.80E-06	Uncharacterized RING finger protein P32A8.03c	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein modification by small protein conjugation or removal [GO:0070647]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	nucleus [GO:0005634]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0005634; GO:0006511; GO:0008270; GO:0030433; GO:0043161; GO:0061630; GO:0070647	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
27	TRINITY_DN278906_c0_g1	18.53849221	11.81185265	97.69312895	3.84E-11	2.38E-09	Q1DDU5	TRINITY_DN278906_c0_g1_i1	1.50E-105	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	cytoplasm [GO:0005737]	kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0006569; GO:0019805; GO:0030170; GO:0030429; GO:0034354; GO:0043420; GO:0097053	reviewed	Myxococcus xanthus (strain DK 1622)
28	TRINITY_DN278965_c0_g1	10.93131288	7.318892386	11.78080911	0.001861728	0.026498592	Q20065	TRINITY_DN278965_c0_g1_i6	1.10E-09	"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)"	macromolecule modification [GO:0043412]; oxidation-reduction process [GO:0055114]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	"iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; peptidyl-proline 4-dioxygenase activity [GO:0031545]; procollagen-proline 4-dioxygenase activity [GO:0004656]"	GO:0004656; GO:0005506; GO:0005783; GO:0005788; GO:0016702; GO:0018401; GO:0031418; GO:0031545; GO:0043412; GO:0055114	reviewed	Caenorhabditis elegans
29	TRINITY_DN278968_c0_g1	17.0883166	10.38151164	57.07982292	1.53E-08	4.90E-07	O14792	TRINITY_DN278968_c0_g1_i1	8.90E-10	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1)	glycosaminoglycan biosynthetic process [GO:0006024]; heparan sulfate proteoglycan biosynthetic process [GO:0015012]	Golgi lumen [GO:0005796]	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity [GO:0008467]; heparan sulfate sulfotransferase activity [GO:0034483]; sulfotransferase activity [GO:0008146]	GO:0005796; GO:0006024; GO:0008146; GO:0008467; GO:0015012; GO:0034483	reviewed	Homo sapiens (Human)
30	TRINITY_DN292324_c0_g1	18.13456973	14.03206022	89.96764211	4.08E-11	2.38E-09	Q8N8W4	TRINITY_DN292324_c0_g1_i1	1.50E-09	Patatin-like phospholipase domain-containing protein 1 (EC 3.1.1.-)	lipid homeostasis [GO:0055088]; triglyceride catabolic process [GO:0019433]	cytoplasm [GO:0005737]; lipid droplet [GO:0005811]; membrane [GO:0016020]	triglyceride lipase activity [GO:0004806]	GO:0004806; GO:0005737; GO:0005811; GO:0016020; GO:0019433; GO:0055088	reviewed	Homo sapiens (Human)
